report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price
04/15/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,3.5,422,3.07
04/15/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.67,2.5,778,2.38
04/15/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),Yes,per lb,N/A,1.99,1.99,22,1.99
04/15/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,2.99,2.99,267,2.99
04/15/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.99,874,1.71
04/15/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,1.99,2.99,115,2.95
04/15/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,3,3,81,3
04/15/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,1.29,2.49,47,2.26
04/15/2022,Northeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.99,2.99,22,2.99
04/15/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,1.49,2.99,107,1.93
04/15/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.49,3.99,132,2.24
04/15/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,N/A,2.79,3.99,65,3.58
04/22/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.5,2.99,340,2.98
04/22/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.5,3,766,2.32
04/22/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,2.5,4,251,2.76
04/22/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,2.49,414,1.39
04/22/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.89,2.49,1242,1.42
04/22/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,1.29,1.99,77,1.83
04/22/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.99,2.99,310,2.99
04/22/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,0.99,2.99,83,1.95
04/22/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,Yes,per lb,Greenhouse,2.49,2.49,8,2.49
04/22/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,0.89,2.49,183,1.76
04/22/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.49,82,1.97
04/29/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,2.99,3.99,56,3.28
04/29/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,2.29,2.49,48,2.32
04/29/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.98,2.49,367,2.2
04/29/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,Yes,per lb,Greenhouse,2.99,2.99,255,2.99
04/29/2022,Northeast,Vegetables,Tomatoes,VINE RIPES - ON THE VINE,No,per lb,Greenhouse,0.99,2.99,760,1.74
04/29/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.95,2.49,1896,1.32
04/29/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,10 oz package,N/A,1.99,3.5,395,2.49
04/29/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,2,2.5,533,2.46
04/29/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,3.49,3.99,72,3.93
04/29/2022,Northeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,3,3,13,3
04/29/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.89,2.49,144,1.7
05/06/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,Yes,1 pint package,N/A,2.99,3.49,73,3.37
05/06/2022,Northeast,Vegetables,Tomatoes,GRAPE TYPE,No,1 pint package,N/A,1.67,3,759,2.27
05/06/2022,Northeast,Vegetables,Tomatoes,Plum Type (Roma),No,per lb,N/A,0.99,1.99,1023,1.58
05/06/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,Greenhouse,1.99,2.29,91,2.12
05/06/2022,Northeast,Vegetables,Tomatoes,VINE RIPES,No,per lb,N/A,0.99,2.49,223,1.77
05/06/2022,Northeast,Vegetables,Tomatoes,Vine Ripes - Heirloom Varieties,No,per lb,Greenhouse,2.99,2.99,362,2.99
05/06/2022,Northeast,Vegetables,Tomatoes,N/A,Yes,per lb,N/A,2.29,2.49,62,2.47
05/06/2022,Northeast,Vegetables,Tomatoes,N/A,No,per lb,N/A,0.99,1.99,452,1.15
